               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071529,            0.032046,            0.038928,             0.77573,             0.15766,             0.15367,            0.066656,            0.050873,            0.016807,            0.034177,            0.070049,           0.0033279,           0.0033279
                   1,             0.05327,            0.026784,            0.023641,             0.66791,             0.29191,             0.25747,             0.12165,            0.045976,             0.01686,            0.028554,             0.03961,           0.0062216,           0.0062216
                   2,            0.049757,            0.026391,            0.019703,             0.49602,             0.33393,             0.30389,             0.14865,            0.044724,            0.017503,            0.022843,             0.00873,           0.0086752,           0.0086752
                   3,            0.047291,            0.026669,            0.018616,             0.52278,             0.40088,             0.35087,             0.17737,            0.042641,            0.017309,            0.018628,             0.00802,             0.00802,             0.00802
                   4,            0.045654,            0.027124,            0.017264,             0.52033,             0.39538,             0.34946,             0.18735,            0.041282,            0.017025,            0.019567,             0.00802,             0.00802,             0.00802
                   5,            0.043315,             0.02636,            0.015889,             0.57557,             0.42192,             0.37906,             0.19424,            0.040535,             0.01673,            0.017456,             0.00736,             0.00736,             0.00736
                   6,            0.041814,            0.025348,             0.01491,             0.63829,             0.44511,             0.44308,             0.23855,             0.03902,             0.01579,            0.015205,              0.0067,              0.0067,              0.0067
                   7,            0.040464,            0.024804,            0.013757,              0.6632,              0.4186,             0.46207,             0.24444,            0.038571,            0.016174,            0.016605,             0.00604,             0.00604,             0.00604
                   8,            0.038896,             0.02452,             0.01269,             0.65894,             0.42499,             0.44795,             0.24924,            0.037148,            0.015622,             0.01582,             0.00538,             0.00538,             0.00538
                   9,            0.037843,            0.023673,            0.011656,             0.67586,             0.42704,             0.46357,             0.25784,            0.037206,            0.015318,             0.01334,             0.00472,             0.00472,             0.00472
                  10,            0.037005,            0.023416,            0.011093,             0.67757,             0.48246,             0.51928,             0.29097,            0.035805,              0.0154,            0.012562,             0.00406,             0.00406,             0.00406
                  11,            0.035674,            0.022876,            0.010524,             0.70823,             0.47225,             0.52697,              0.2999,            0.035567,            0.015041,            0.011748,              0.0034,              0.0034,              0.0034
                  12,            0.034825,            0.022501,           0.0098662,             0.55608,             0.54921,             0.51605,             0.29783,            0.034781,            0.014954,            0.013746,             0.00274,             0.00274,             0.00274
                  13,            0.034064,            0.022017,           0.0089797,             0.62467,             0.54063,              0.5362,              0.3131,            0.034523,            0.014943,            0.011845,             0.00208,             0.00208,             0.00208
                  14,             0.03318,            0.021722,           0.0088791,             0.60058,              0.5735,             0.52398,             0.30798,            0.034044,            0.014787,            0.014324,             0.00142,             0.00142,             0.00142
